Micro Emulation GUID,Micro Emulation Name,Technique ID,Micro Emulation URL,Technique Mapping
43c6da74-4969-4a8f-a524-85218c04c013,Reflective Code Loading,T1620,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/reflective_loading,validated
0a6f44e5-1c3e-45c7-ba4b-52de94dd2433,Remote Application Exploitation,T1059,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/apache_rce,validated
0a6f44e5-1c3e-45c7-ba4b-52de94dd2433,Remote Application Exploitation,T1190,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/apache_rce,validated
9a7a6f48-143f-4bd0-8971-cd2fca8799c8,Clear Windows Event Logs,T1070.001,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/log_clearing,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1083,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1005,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1560.002,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1074.001,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1027,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1048,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1070.004,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
93e70372-620d-48e4-9485-8c8e2b0d22d1,DLL Side-loading,T1574.002,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/dll_sideloading,validated
93e70372-620d-48e4-9485-8c8e2b0d22d1,DLL Side-loading,T1083,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/dll_sideloading,validated
93e70372-620d-48e4-9485-8c8e2b0d22d1,DLL Side-loading,T1135,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/dll_sideloading,validated
